CUL	LATITUDE	LONGITUDE	NAME
11363	37.9984132	23.7469201	ΝΕΑ ΚΥΨΕΛΗ
11364	40.6536074	22.9223719	ΑΜΠΕΛΟΚΗΠΟΙ
11471	37.9843293	23.732948	ΝΕΑΠΟΛΗ ΑΘΗΝΑΣ
11472	37.9843293	23.732948	ΝΕΑΠΟΛΗ ΑΘΗΝΑΣ
11473	37.9843293	23.732948	ΝΕΑΠΟΛΗ ΑΘΗΝΑΣ
11474	37.9909165	23.7459493	ΓΚΥΖΗ
11475	37.9909165	23.7459493	ΓΚΥΖΗ
11476	37.9909165	23.7459493	ΓΚΥΖΗ
11521	37.9800129	23.7484385	ΕΥΑΓΓΕΛΙΣΜΟΣ
11522	40.6819373	22.9333079	ΑΜΠΕΛΟΚΗΠΟΙ ΓΚΥΖΗ
11523	37.9891078	23.7634386	ΑΜΠΕΛΟΚΗΠΟΙ
11524	37.9891078	23.7634386	ΑΜΠΕΛΟΚΗΠΟΙ
11525	37.9967282	23.774901	ΕΛΛΗΝΟΡΡΩΣΩΝ
11526	37.9919459	23.772459	ΕΡΥΘΡΟΣ ΣΤΑΥΡΟΣ
11527	37.9809436	23.7576755	ΜΙΧΑΛΑΚΟΠΟΥΛΟΥ
11528	37.9809436	23.7576755	ΜΙΧΑΛΑΚΟΠΟΥΛΟΥ
11631	37.9591224	23.7359473	ΓΟΥΒΑ
11632	37.9591224	23.7359473	ΓΟΥΒΑ
11633	37.9716429	23.7472883	ΠΑΓΚΡΑΤΙ
11634	37.9716429	23.7472883	ΠΑΓΚΡΑΤΙ
11635	37.9697566	23.7399832	ΣΤΑΔΙΟΑΘΗΝΑ
11636	37.9641069	23.7341246	1ο ΝΕΚΡΟΤΑΦΕΙΟ ΑΘΗΝΩΝ
11741	37.9665736	23.7249854	ΚΟΥΚΑΚΙ
11742	37.9657156	23.7144061	ΦΙΛΟΠΠΑΠΟΥ
11743	37.9625887	23.7306539	ΚΥΝΟΣΑΡΓΟΥΣ
11744	37.9568965	23.7246066	ΝΕΟΣ ΚΟΣΜΟΣ
