CUL	LATITUDE	LONGITUDE	NAME
2235	46.5838	15.8478	Sv. Trojica v Slovenskih goricah
2236	46.5706	15.9436	Cerkvenjak
2241	46.5031	15.7453	Spodnji Duplek
2242	46.524	15.7723	Zgornja Korena
2250	46.4201	15.8702	Ptuj
2252	46.4367	15.9536	Dornava
2253	46.5006	15.875	Destrnik
2254	46.5202	15.8866	Trnovska vas
2255	46.5275	15.9394	Vitomarci
2256	46.4847	15.9714	Juršinci
2257	46.4746	16.0031	Polenšak
2258	46.4842	16.0836	Sveti Tomaž
2259	46.4622	16.1458	Ivanjkovci
2270	46.4114	16.1544	Ormož
2272	46.4147	16.0139	Gorišnica
2273	46.4292	16.0636	Podgorci
2274	46.4178	16.1097	Velika Nedelja
2275	46.46	16.2136	Miklavž pri Ormožu
2276	46.4717	16.2508	Kog
2277	46.3942	16.2681	Središče ob Dravi
2281	46.3833	15.95	Markovci
2282	46.3441	15.9947	Cirkulane
2283	46.3917	16.0497	Zavrč
2284	46.3686	15.9064	Videm pri Ptuju
2285	46.3303	15.9369	Zgornji Leskovec
2286	46.3353	15.88	Podlehnik
2287	46.275	15.7939	Žetale
2288	46.4089	15.8469	Hajdina
2289	46.29	15.7167	Stoperce
2310	46.3928	15.5744	Slovenska Bistrica
2311	46.4918	15.6231	Hoče
2312	46.4701	15.6686	Orehova vas
2313	46.4506	15.6322	Fram
2314	46.4256	15.6122	Zgornja Polskava
2315	46.4442	15.5394	Šmartno na Pohorju
2316	46.3833	15.5167	Zgornja Ložnica
2317	46.3878	15.4467	Oplotnica
2318	46.3467	15.5947	Laporje
2319	46.3119	15.5792	Poljčane
2321	46.3172	15.6672	Makole
2322	46.3517	15.7336	Majšperk
2323	46.355	15.76	Ptujska Gora
2324	46.3736	15.7792	Lovrenc na Dravskem polju
2325	46.4036	15.7911	Kidričevo
2326	46.3999	15.7312	Cirkovce
2327	46.4519	15.6814	Rače
2331	46.3967	15.66	Pragersko
2341	46.5536	15.5836	Limbuš
2342	46.5394	15.5158	Ruše
2343	46.5439	15.4472	Fala
2344	46.5406	15.3931	Lovrenc na Pohorju
2345	46.5572	15.5144	Bistrica ob Dravi
2351	46.5744	15.6142	Kamnica
2352	46.55	15.495	Selnica ob Dravi
2353	46.5647	15.5614	Sv. Duh na Ostrem Vrhu
2354	46.5697	15.575	Bresternica
2360	46.6142	15.2264	Radlje ob Dravi
2361	46.5869	15.3989	Ožbalt
2362	46.2483	15.0094	Kapla
2363	46.5869	15.3306	Podvelka
2364	46.535	15.2728	Ribnica na Pohorju
2365	46.5947	15.2375	Vuhred
2366	46.6114	15.1661	Muta
2367	46.5964	15.1672	Vuzenica
2370	46.5881	15.0192	Dravograd
2371	46.6028	15.1075	Trbonje
2372	46.62	14.9497	Libeliče
2373	46.5611	15.0389	Šentjanž pri Dravogradu
2380	46.5103	15.0806	Slovenj Gradec
2381	46.4719	15.0836	Podgorje pri Slovenj Gradcu
2382	46.4411	15.1956	Mislinja
2383	46.4894	15.1067	Šmartno pri Slovenj Gradcu
2390	46.5431	14.9692	Ravne na Koroškem
2391	46.5469	14.9208	Prevalje
2392	46.5214	14.8544	Mežica
2393	46.4705	14.8501	Črna na Koroškem
2394	46.5214	14.9869	Kotlje
2500	46.5547	15.6467	Maribor
2501	46.5547	15.6467	Maribor
2502	46.5547	15.6467	Maribor
2503	46.5547	15.6467	Maribor
2504	46.5547	15.6467	Maribor
2505	46.5547	15.6467	Maribor
2506	46.5547	15.6467	Maribor
2507	46.5547	15.6467	Maribor
2509	46.5547	15.6467	Maribor
2600	46.5547	15.6467	Maribor
2603	46.5547	15.6467	Maribor
2609	46.5547	15.6467	Maribor
2610	46.5547	15.6467	Maribor
3000	45.5916	14.1546	Celje - dostava
3001	45.5916	14.1546	Celje - poštni predali
3201	46.2945	15.2431	Šmartno v Rožni dolini
3202	46.2417	15.3208	Ljubečna
3203	46.3128	15.2856	Nova Cerkev
3204	46.3375	15.2264	Dobrna
3205	46.3817	15.2958	Vitanje
3206	46.3636	15.3653	Stranice
3210	46.3367	15.4258	Slovenske Konjice
3211	46.2679	15.2912	Škofja vas
3212	46.2933	15.3033	Vojnik
3213	46.3306	15.3144	Frankolovo
3214	46.3822	15.3792	Zreče
3215	46.283	15.258	Loče
3220	46.2208	15.3139	Štore
3221	46.2303	15.3022	Teharje
3222	46.2736	15.3947	Dramlje
3223	46.1575	15.5147	Loka pri Žusmu
3224	46.1367	15.4089	Dobje pri Planini
3225	46.1114	15.4094	Planina pri Sevnici
3230	46.2172	15.3975	Šentjur
3231	46.2117	15.4447	Grobelno
3232	46.241	15.4567	Ponikva
3233	46.1672	15.3944	Kalobje
3240	46.2272	15.5192	Šmarje pri Jelšah
3241	46.2461	15.5764	Podplat
3250	46.2375	15.6397	Rogaška Slatina
3252	46.2294	15.7003	Rogatec
3253	46.1967	15.5961	Pristava pri Mestinju
3254	46.1569	15.5986	Podčetrtek
3255	46.1079	15.5701	Buče
3256	46.0589	15.6642	Bistrica ob Sotli
3257	46.0414	15.5906	Podsreda
3260	46.075	15.5603	Kozje
3261	46.1025	15.5142	Lesično
