CUL	LONGITUDE	LATITUDE	NAME	Unnamed: 4
010198	26.084690	44.439170	Bucuresti	
010201	26.086270	44.437030	Bucuresti	
010202	26.086270	44.437030	Bucuresti	
010203	26.084830	44.437290	Bucuresti	
010204	26.084830	44.437290	Bucuresti	
010205	26.084830	44.437290	Bucuresti	
010206	26.091230	44.438230	Bucuresti	
010207	26.091230	44.438230	Bucuresti	
010208	26.087990	44.436510	Bucuresti	
010209	26.087990	44.436510	Bucuresti	
010211	26.088610	44.435870	Bucuresti	
010212	26.088610	44.435870	Bucuresti	
010213	26.087530	44.436530	Bucuresti	
010214	26.084790	44.435430	Bucuresti	
010215	26.084370	44.435630	Bucuresti	
010216	26.083880	44.435470	Bucuresti	
010217	26.086290	44.436230	Bucuresti	
010218	26.086290	44.436230	Bucuresti	
010219	26.086290	44.436230	Bucuresti	
010221	26.091230	44.438230	Bucuresti	
010222	26.091230	44.438230	Bucuresti	
010223	26.091230	44.438230	Bucuresti	
010224	26.080300	44.445400	Bucuresti	
010225	26.080300	44.445400	Bucuresti	
010231	26.091230	44.438230	Bucuresti	
010232	26.091230	44.438230	Bucuresti	
010233	26.091230	44.438230	Bucuresti	
010234	26.091230	44.438230	Bucuresti	
010235	26.091230	44.438230	Bucuresti	
010236	26.080300	44.445400	Bucuresti	
010237	26.080300	44.445400	Bucuresti	
010238	26.080300	44.445400	Bucuresti	
010241	26.080300	44.445400	Bucuresti	
010242	26.080300	44.445400	Bucuresti	
010243	26.080300	44.445400	Bucuresti	
010251	26.081120	44.442920	Bucuresti	
010252	26.081120	44.442920	Bucuresti	
010253	26.081120	44.442920	Bucuresti	
010254	26.081120	44.442920	Bucuresti	
010255	26.081120	44.442920	Bucuresti	
010256	26.081120	44.442920	Bucuresti	
010257	26.081120	44.442920	Bucuresti	
010258	26.091230	44.438230	Bucuresti	
010259	26.091230	44.438230	Bucuresti	
010261	26.081120	44.442920	Bucuresti	
010262	26.081120	44.442920	Bucuresti	
010263	26.081120	44.442920	Bucuresti	
010271	26.080300	44.445400	Bucuresti	
010281	26.101290	44.441020	Bucuresti	
