oed,red
1250,ROAD
1251,RAIL
1252,AIR
1256,ROAD
1303,POW_GAS
2403,POW_COAL
2450,POW_OIL
2460,POW_OIL
2461,POW_OIL
2470,POW_OIL
2500,POW_HYD
2505,POW_GEO
2541,POW_SOL
2542,POW_WIND
2560,POW_WAS
2600,POW_GAS
2610,POW_GAS
2611,POW_GAS
2612,POW_GAS
2613,POW_GAS
2620,POW_GAS
2760,PRT
2780,AIR
3001,POW_OIL
3002,POW_GAS
3004,POW_OLG
3014,POW_GAS
